k,question_index,clause_type,contract_id,faithfulness,answer_relevancy,context_precision,context_recall
4,0,Governing Law,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",1.0,0.6180594238325038,0.9999999999,1.0
4,1,Governing Law,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT,1.0,0.6572400368782024,0.9999999999,1.0
4,2,Governing Law,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",1.0,0.5551769542754108,0.9999999999,1.0
4,3,Governing Law,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",1.0,0.6230680672452741,0.9999999999,1.0
4,4,Cap On Liability,STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT,0.7777777777777778,0.642682866950774,0.99999999995,1.0
4,5,Cap On Liability,UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,1.0,0.5848513337936622,0.9999999999,1.0
4,6,Cap On Liability,"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement",1.0,0.5941852302896256,0.9999999999,1.0
4,7,Cap On Liability,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT,1.0,0.49228754366385724,0.9999999999,1.0
4,8,Termination For Convenience,"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT",1.0,0.5618453851455405,0.9999999999,1.0
4,9,Termination For Convenience,TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT,1.0,0.0,0.9999999999,1.0
4,10,Termination For Convenience,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,0.8,0.5901817938760968,0.0,1.0
4,11,Termination For Convenience,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,1.0,0.3900866635131021,0.9999999999,1.0
4,12,Ip Ownership Assignment,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,0.5,0.6017742564462005,0.9999999999,1.0
4,13,Ip Ownership Assignment,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,1.0,0.417540459537831,0.9999999999,1.0
4,14,Ip Ownership Assignment,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,1.0,0.7093142989038603,0.9999999999,1.0
4,15,Ip Ownership Assignment,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,1.0,0.4426764063263696,0.9999999999,1.0
4,16,Non-Compete,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,0.6666666666666666,0.4354068306539316,0.9999999999,1.0
4,17,Non-Compete,LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement,1.0,0.31814778157719,0.9999999999,1.0
4,18,Non-Compete,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,1.0,0.42717887522864906,0.49999999995,1.0
4,19,Non-Compete,"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",0.8888888888888888,0.5174022507246345,0.999999999975,1.0
