question_index,clause_type,contract_id,noise_type,snr,n_noise,faithfulness,answer_relevancy,context_precision,context_recall
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,baseline,1.0,0,1.0,0.6460472278394553,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,random,0.5,4,1.0,0.6461074456979227,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,topical,0.5,4,1.0,0.6230950827120696,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,adversarial,0.5,4,0.75,0.0,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,random,0.33,8,1.0,0.0,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,topical,0.33,8,1.0,0.6230950827120696,0.8333333332916666,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,adversarial,0.33,8,0.6,0.6032767126241415,0.6111111110805556,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,random,0.25,12,0.75,0.6357461870093413,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,topical,0.25,12,1.0,0.6230950827120696,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,adversarial,0.25,12,0.6,0.0,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,random,0.17,20,1.0,0.6230950827120696,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,topical,0.17,20,1.0,0.6230950827120696,0.9999999999,1.0
0,Governing Law,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,adversarial,0.17,20,0.6363636363636364,0.0,0.5555555555277778,1.0
1,Governing Law,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,baseline,1.0,0,1.0,0.5954976913275369,0.9999999999,1.0
1,Governing Law,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,random,0.5,4,1.0,0.595503910153282,0.9999999999,1.0
